example_id                                                           | status | run_time        |
./spec/react/responsive_helper_spec.rb[1:1:5:3]                      | passed | 0.00002 seconds |
./spec/react/responsive_helper_spec.rb[1:1:6:1]                      | passed | 0.00002 seconds |
./spec/react/responsive_helper_spec.rb[1:1:6:2]                      | passed | 0.00003 seconds |
./spec/react/responsive_helper_spec.rb[1:1:7:1]                      | passed | 0.00002 seconds |
./spec/react/responsive_helper_spec.rb[1:2:1]                        | passed | 0.00001 seconds |
./spec/react/responsive_helper_spec.rb[1:3:1]                        | passed | 0.00002 seconds |
./spec/react/responsive_helper_spec.rb[1:3:2]                        | passed | 0.00002 seconds |
./spec/react/responsive_helper_spec.rb[1:4:1]                        | passed | 0.00001 seconds |
./spec/react/responsive_helper_spec.rb[1:4:2]                        | passed | 0.00002 seconds |
./spec/react/responsive_helper_spec.rb[1:4:3]                        | passed | 0.00001 seconds |
./spec/react/responsive_helper_spec.rb[1:4:4]                        | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:1:1]                          | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:1:2]                          | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:1:3]                          | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:1:4]                          | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:2:1]                          | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:2:2]                          | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:2:3]                          | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:3:1]                          | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:3:2]                          | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:3:3]                          | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:4:1]                          | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:4:2]                          | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:4:3]                          | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:5:1]                          | passed | 0.00002 seconds |
./spec/react/tailwind_mapper_spec.rb[1:5:2]                          | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:5:3]                          | passed | 0.00002 seconds |
./spec/react/tailwind_mapper_spec.rb[1:5:4]                          | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:6:1]                          | passed | 0.00002 seconds |
./spec/react/tailwind_mapper_spec.rb[1:6:2]                          | passed | 0.00002 seconds |
./spec/react/tailwind_mapper_spec.rb[1:6:3]                          | passed | 0.00002 seconds |
./spec/react/tailwind_mapper_spec.rb[1:6:4]                          | passed | 0.00002 seconds |
./spec/react/tailwind_mapper_spec.rb[1:7:1]                          | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:7:2]                          | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:8:1]                          | passed | 0.00002 seconds |
./spec/react/tailwind_mapper_spec.rb[1:8:2]                          | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:8:3]                          | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:9:1:1]                        | passed | 0.00002 seconds |
./spec/react/tailwind_mapper_spec.rb[1:9:2:1]                        | passed | 0.00002 seconds |
./spec/react/tailwind_mapper_spec.rb[1:9:3:1]                        | passed | 0.00002 seconds |
./spec/react/tailwind_mapper_spec.rb[1:10:1:1]                       | passed | 0.00002 seconds |
./spec/react/tailwind_mapper_spec.rb[1:10:2:1]                       | passed | 0.00002 seconds |
./spec/react/tailwind_mapper_spec.rb[1:10:3:1]                       | passed | 0.00002 seconds |
./spec/react/tailwind_mapper_spec.rb[1:11:1]                         | passed | 0.00002 seconds |
./spec/react/tailwind_mapper_spec.rb[1:11:2]                         | passed | 0.00002 seconds |
./spec/react/tailwind_mapper_spec.rb[1:11:3]                         | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:12:1]                         | passed | 0.00002 seconds |
./spec/react/tailwind_mapper_spec.rb[1:12:2]                         | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:13:1]                         | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:13:2]                         | passed | 0.00002 seconds |
./spec/react/tailwind_mapper_spec.rb[1:13:3]                         | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:14:1]                         | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:14:2]                         | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:14:3]                         | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:15:1]                         | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:15:2]                         | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:15:3]                         | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:15:4]                         | passed | 0.00002 seconds |
./spec/react/tailwind_mapper_spec.rb[1:16:1:1]                       | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:16:1:2]                       | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:16:1:3]                       | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:16:1:4]                       | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:16:1:5]                       | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:16:2:1]                       | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:16:2:2]                       | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:16:2:3]                       | passed | 0.00002 seconds |
./spec/react/tailwind_mapper_spec.rb[1:16:2:4]                       | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:16:3:1]                       | passed | 0.00001 seconds |
./spec/react/tailwind_mapper_spec.rb[1:16:4:1]                       | passed | 0.00001 seconds |
